PathPPS_len,PathPPS_time,Real_len,Acc
77,657000,1078,0.974025974025974
121,930000,1694,0.8347107438016529
146,2345000,2044,0.9041095890410958
225,1678000,3150,0.6266666666666667
126,1172000,1764,0.9841269841269841
87,1105000,1218,1.0
105,1142000,1470,1.0
160,1497000,2240,0.925
164,1676000,2296,0.9146341463414634
131,868000,1834,0.7099236641221374
108,1128000,1512,0.9814814814814815
144,901000,2016,0.7638888888888888
188,1568000,2632,0.648936170212766
102,1232000,1428,0.8627450980392157
204,2172000,2856,0.6764705882352942
63,956000,882,0.9047619047619048
102,1319000,1428,0.9803921568627451
111,1593000,1554,0.963963963963964
117,991000,1638,0.7777777777777778
54,652000,756,0.9629629629629629
140,1053000,1960,0.7571428571428571
121,884000,1694,0.71900826446281
83,797000,1162,0.9036144578313253
104,1128000,1456,0.9807692307692307
144,1260000,2016,0.5
79,1206000,1106,1.0
167,1343000,2338,0.9161676646706587
153,1600000,2142,0.7908496732026143
143,1532000,2002,0.9020979020979021
154,1683000,2156,0.974025974025974
27,1075000,378,1.0
138,1069000,1932,0.6231884057971014
190,2009000,2660,0.9368421052631579
24,852000,336,1.0
67,754000,938,0.9104477611940298
191,1727000,2674,0.6649214659685864
96,1176000,1344,0.75
123,1092000,1722,0.7886178861788617
128,1577000,1792,0.640625
135,1493000,1890,0.762962962962963
260,2046000,3640,0.5692307692307692
76,1554000,1064,0.8421052631578947
111,1073000,1554,0.8738738738738738
263,2029000,3682,0.7186311787072244
253,2289000,3542,0.5335968379446641
260,1568000,3640,0.6307692307692307
199,1364000,2786,0.8592964824120602
81,753000,1134,0.7777777777777778
213,2439000,2982,0.4460093896713615
166,1722000,2324,0.6385542168674698
76,1089000,1064,0.9210526315789473
183,1479000,2562,0.4972677595628415
154,1430000,2156,0.8181818181818182
82,1060000,1148,0.8536585365853658
204,1355000,2856,0.5980392156862745
189,1264000,2646,0.7671957671957672
77,744000,1078,1.0
134,992000,1876,0.8955223880597015
172,2342000,2408,0.9302325581395349
162,1507000,2268,0.7654320987654321
127,1277000,1778,0.9212598425196851
128,1341000,1792,0.734375
110,1289000,1540,0.9272727272727272
116,1540000,1624,0.8793103448275862
71,1105000,994,0.9436619718309859
151,1024000,2114,0.9602649006622517
121,1130000,1694,0.8512396694214877
158,1398000,2212,0.9240506329113924
131,1953000,1834,0.6335877862595419
55,791000,770,1.0
203,1525000,2842,0.6650246305418719
230,1928000,3220,0.4608695652173913
78,1543000,1092,0.7948717948717948
317,2998000,4438,0.5457413249211357
154,1447000,2156,0.8701298701298701
89,1028000,1246,0.9775280898876404
192,1560000,2688,0.8125
78,758000,1092,0.7692307692307693
49,1248000,686,1.0
133,1569000,1862,0.6842105263157895
164,1304000,2296,0.8780487804878049
29,920000,406,1.0
68,1066000,952,0.7058823529411765
137,1377000,1918,0.9416058394160584
70,1786000,980,0.9428571428571428
34,819000,476,0.8235294117647058
134,1305000,1876,1.0
195,1524000,2730,0.7846153846153846
111,1130000,1554,0.7657657657657657
162,2014000,2268,0.7530864197530864
88,1605000,1232,0.8863636363636364
150,1261000,2100,0.5333333333333333
92,845000,1288,0.8478260869565217
174,1838000,2436,0.9195402298850575
106,1292000,1484,1.0
223,1736000,3122,0.5695067264573991
296,2179000,4144,0.7094594594594594
249,1995000,3486,0.7670682730923695
85,1154000,1190,0.4823529411764706
41,1087000,574,1.0
86,1066000,1204,0.9302325581395349
76,678000,1064,0.7105263157894737
173,1564000,2422,0.930635838150289
179,1425000,2506,0.6089385474860335
HCM(ms):,657.55,MapSize(B):,589912
